#TYPE System.Diagnostics.Process
"Name";"SI";"Handles";"VM";"WS";"PM";"NPM";"Path";"Company";"CPU";"FileVersion";"ProductVersion";"Description";"Product";"__NounName";"BasePriority";"ExitCode";"HasExited";"ExitTime";"Handle";"SafeHandle";"HandleCount";"Id";"MachineName";"MainWindowHandle";"MainWindowTitle";"MainModule";"MaxWorkingSet";"MinWorkingSet";"Modules";"NonpagedSystemMemorySize";"NonpagedSystemMemorySize64";"PagedMemorySize";"PagedMemorySize64";"PagedSystemMemorySize";"PagedSystemMemorySize64";"PeakPagedMemorySize";"PeakPagedMemorySize64";"PeakWorkingSet";"PeakWorkingSet64";"PeakVirtualMemorySize";"PeakVirtualMemorySize64";"PriorityBoostEnabled";"PriorityClass";"PrivateMemorySize";"PrivateMemorySize64";"PrivilegedProcessorTime";"ProcessName";"ProcessorAffinity";"Responding";"SessionId";"StartInfo";"StartTime";"SynchronizingObject";"Threads";"TotalProcessorTime";"UserProcessorTime";"VirtualMemorySize";"VirtualMemorySize64";"EnableRaisingEvents";"StandardInput";"StandardOutput";"StandardError";"WorkingSet";"WorkingSet64";"Site";"Container"
"ACMON";"3";"247";"92975104";"2420736";"4030464";"19096";"C:\Program Files (x86)\ASUS\Splendid\ACMON.exe";"ASUS";"0,359375";"1, 0, 9, 0";"1, 0, 0, 0";"ACMON ";"ACMON";"Process";"6";;"False";;"3244";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"247";"1184";".";"0";"";"System.Diagnostics.ProcessModule (ACMON.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"19096";"19096";"4030464";"4030464";"225344";"225344";"34500608";"34500608";"38473728";"38473728";"336199680";"336199680";"True";"BelowNormal";"4030464";"4030464";"00:00:00.2500000";"ACMON";"15";"True";"3";"System.Diagnostics.ProcessStartInfo";"27/02/2020 9:13:51 a. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.3593750";"00:00:00.1093750";"92975104";"92975104";"False";;;;"2420736";"2420736";;
"AdminService";"0";"157";"4391976960";"6328320";"2416640";"9104";"C:\WINDOWS\System32\drivers\AdminService.exe";"Windows (R) Win 7 DDK provider";"5,796875";"10.0.10011.16384";"10.0.10011.16384";"Windows Setup API";"Windows (R) Win 7 DDK driver";"Process";"8";;"False";;"4636";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"157";"4620";".";"0";"";"System.Diagnostics.ProcessModule (AdminService.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"9104";"9104";"2416640";"2416640";"120568";"120568";"2453504";"2453504";"8151040";"8151040";"99106816";"4394074112";"True";"Normal";"2416640";"2416640";"00:00:04.2187500";"AdminService";"15";"True";"0";"System.Diagnostics.ProcessStartInfo";"25/02/2020 2:07:04 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:05.7968750";"00:00:01.5781250";"97009664";"4391976960";"False";;;;"6328320";"6328320";;
"AppleMobileDeviceService";"0";"228";"4446814208";"9760768";"3555328";"18416";"C:\Program Files\Common Files\Apple\Mobile Device Support\AppleMobileDeviceService.exe";"Apple Inc.";"14,609375";"474.0.2.3";"";"MobileDeviceService";"";"Process";"8";;"False";;"4732";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"228";"4588";".";"0";"";"System.Diagnostics.ProcessModule (AppleMobileDeviceService.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"18416";"18416";"3555328";"3555328";"218984";"218984";"3633152";"3633152";"13111296";"13111296";"156041216";"4451008512";"True";"Normal";"3555328";"3555328";"00:00:10.5312500";"AppleMobileDeviceService";"15";"True";"0";"System.Diagnostics.ProcessStartInfo";"25/02/2020 2:07:04 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:14.6093750";"00:00:04.0781250";"151846912";"4446814208";"False";;;;"9760768";"9760768";;
"ApplicationFrameHost";"3";"490";"2203591278592";"34000896";"19574784";"29096";"C:\WINDOWS\system32\ApplicationFrameHost.exe";"Microsoft Corporation";"2,46875";"10.0.18362.1 (WinBuild.160101.0800)";"10.0.18362.1";"Application Frame Host";"Microsoft? Windows? Operating System";"Process";"8";;"False";;"3316";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"490";"15532";".";"131482";"Microsoft Edge";"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"29096";"29096";"19574784";"19574784";"400856";"400856";"27791360";"27791360";"38395904";"38395904";"284327936";"2203602550784";"True";"Normal";"19574784";"19574784";"00:00:01.4531250";"ApplicationFrameHost";"15";"True";"3";"System.Diagnostics.ProcessStartInfo";"27/02/2020 9:14:16 a. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:02.4687500";"00:00:01.0156250";"273055744";"2203591278592";"False";;;;"34000896";"34000896";;
"armsvc";"0";"156";"45522944";"5025792";"1454080";"9640";"C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe";"Adobe Systems";"0,015625";"1.824.35.0289";"1.824.35.0289";"Adobe Acrobat Update Service";"Adobe Acrobat Update Service";"Process";"8";;"False";;"4572";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"156";"4576";".";"0";"";"System.Diagnostics.ProcessModule (armsvc.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"9640";"9640";"1454080";"1454080";"92864";"92864";"1720320";"1720320";"7151616";"7151616";"50765824";"50765824";"True";"Normal";"1454080";"1454080";"00:00:00.0156250";"armsvc";"15";"True";"0";"System.Diagnostics.ProcessStartInfo";"25/02/2020 2:07:04 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.0156250";"00:00:00";"45522944";"45522944";"False";;;;"5025792";"5025792";;
"AsLdrSrv";"0";"113";"34168832";"4337664";"1355776";"9168";"C:\Program Files (x86)\ASUS\ATK Package\ATK Hotkey\AsLdrSrv.exe";"ASUSTek Computer Inc.";"0,109375";"1, 0, 90, 1";"1, 0, 90, 0";"ASLDR Service";"ATK Hotkey";"Process";"8";;"False";;"4792";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"113";"3596";".";"0";"";"System.Diagnostics.ProcessModule (AsLdrSrv.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"9168";"9168";"1355776";"1355776";"65216";"65216";"1667072";"1667072";"6103040";"6103040";"39305216";"39305216";"True";"Normal";"1355776";"1355776";"00:00:00.0468750";"AsLdrSrv";"15";"True";"0";"System.Diagnostics.ProcessStartInfo";"25/02/2020 2:07:03 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.1093750";"00:00:00.0625000";"34168832";"34168832";"False";;;;"4337664";"4337664";;
"ATKOSD2";"3";"233";"154009600";"13938688";"3973120";"17736";"C:\Program Files (x86)\ASUS\ATK Package\ATKOSD2\ATKOSD2.exe";"ASUSTek Computer Inc.";"0,140625";"7, 0, 33, 3";"7, 0, 33, 0";"ATKOSD2";"ATKOSD2";"Process";"8";;"False";;"4384";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"233";"14084";".";"0";"";"System.Diagnostics.ProcessModule (ATKOSD2.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"17736";"17736";"3973120";"3973120";"271056";"271056";"4501504";"4501504";"16142336";"16142336";"158756864";"158756864";"True";"Normal";"3973120";"3973120";"00:00:00.1250000";"ATKOSD2";"15";"True";"3";"System.Diagnostics.ProcessStartInfo";"27/02/2020 9:13:51 a. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.1406250";"00:00:00.0156250";"154009600";"154009600";"False";;;;"13938688";"13938688";;
"audiodg";"0";"205";"2203406176256";"12775424";"7745536";"15912";"C:\WINDOWS\system32\AUDIODG.EXE";"Microsoft Corporation";"161,609375";"10.0.18362.656 (WinBuild.160101.0800)";"10.0.18362.656";"Aislamiento de gr?ficos de dispositivo de audio de Windows ";"Sistema operativo Microsoft? Windows?";"Process";"8";;"False";;"4072";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"205";"1672";".";"0";"";"System.Diagnostics.ProcessModule (AUDIODG.EXE)";"10674176";"9465856";"System.Diagnostics.ProcessModuleCollection";"15912";"15912";"7745536";"7745536";"95856";"95856";"8318976";"8318976";"13434880";"13434880";"89014272";"2203407237120";"True";"Normal";"7745536";"7745536";"00:01:54.7656250";"audiodg";"15";"True";"0";"System.Diagnostics.ProcessStartInfo";"27/02/2020 12:54:14 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:02:41.6093750";"00:00:46.8437500";"87953408";"2203406176256";"False";;;;"12775424";"12775424";;
"backgroundTaskHost";"3";"303";"2203907207168";"29085696";"8699904";"30056";"C:\WINDOWS\system32\backgroundTaskHost.exe";"Microsoft Corporation";"0,078125";"10.0.18362.1 (WinBuild.160101.0800)";"10.0.18362.1";"Background Task Host";"Microsoft? Windows? Operating System";"Process";"8";;"False";;"3664";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"303";"12044";".";"0";"";"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"30056";"30056";"8699904";"8699904";"254472";"254472";"8699904";"8699904";"29118464";"29118464";"588984320";"2203907207168";"True";"Normal";"8699904";"8699904";"00:00:00.0468750";"backgroundTaskHost";"15";"True";"3";"System.Diagnostics.ProcessStartInfo";"27/02/2020 3:46:27 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.0781250";"00:00:00.0312500";"588984320";"2203907207168";"False";;;;"29085696";"29085696";;
"browser_broker";"3";"137";"2203415625728";"7712768";"1671168";"9104";"C:\WINDOWS\system32\browser_broker.exe";"Microsoft Corporation";"0,015625";"11.00.18362.267 (WinBuild.160101.0800)";"11.00.18362.267";"Browser_Broker";"Microsoft? Windows? Operating System";"Process";"8";;"False";;"4568";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"137";"4520";".";"0";"";"System.Diagnostics.ProcessModule (browser_broker.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"9104";"9104";"1671168";"1671168";"124856";"124856";"1880064";"1880064";"8749056";"8749056";"101072896";"2203419295744";"True";"Normal";"1671168";"1671168";"00:00:00.0156250";"browser_broker";"15";"True";"3";"System.Diagnostics.ProcessStartInfo";"27/02/2020 9:15:07 a. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.0156250";"00:00:00";"97402880";"2203415625728";"False";;;;"7712768";"7712768";;
